tyreManufacturing,TyreAssemblyProcess,CompoundMixingProcess,calandrage,RawMaterialForElastomer,ElastomerSynthesisProcess,ChemicalPlant,RealElastomer,ElastomerCharacterization,Elastomer image
Michelin tyre process,Radial Tyre Building,Internal Mixing (High Shear),Multi-Roll Calender,"Ethylene, Propylene, Diene monomers, organic peroxides",Solution Polymerization,Michelin,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),https://drive.google.com/file/d/1z3Z1fluBMxwHgnOqxzqBE4DVdV8_uGOI/view?usp=drive_link
Michelin tyre process,Belt Building,Internal Mixing,3-Roll Calender,"Styrene, Butadiene, Antioxidants, Antiozonants,Plasticizers",Emulsion Polymerization,Dow Chemical,Styrene Butadiene Rubber (SBR),Gel Content (%),https://drive.google.com/file/d/1KRfoDYVj2fm1b2G1SkTmCy97AIelR4H1/view?usp=drive_link
Michelin tyre process,Radial Tyre Building,Two-Stage Mixing,4-Roll Calender,"Ethylene, Propylene, Diene monomers, organic peroxides",Solution Polymerization,Michelin,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),https://drive.google.com/file/d/1z3Z1fluBMxwHgnOqxzqBE4DVdV8_uGOI/view?usp=drive_link
Michelin tyre process,Microwave Curing,Banbury Mixing (Intensive),Sheeting Calender (High Friction),"Isoprene Monomer, Accelerators, Softeners and Extenders", Carbon Black,Bulk Polymerization with Modifiers,Polyisoprene Rubber (IR),Fourier Transform Infrared Spectroscopy (FTIR),https://drive.google.com/file/d/1nHUDD6jbkmmkZjhVwQIdmmURmaWSRiXk/view?usp=drive_link
Michelin tyre process,Tyre Curing,Banbury Mixing,Sheeting Calender,"Isoprene Monomer, Accelerators, Softeners and Extenders",Bulk Polymerization,ExxonMobil,Polyisoprene Rubber (IR),Fourier Transform Infrared Spectroscopy (FTIR),https://drive.google.com/file/d/1nHUDD6jbkmmkZjhVwQIdmmURmaWSRiXk/view?usp=drive_link
Michelin tyre process,Mold Cure Pressure: 10 MPa,Internal Mixing (High Shear),Multi-Roll Calender,"Styrene, Butadiene, Antioxidants, Antiozonants,Plasticizers", Silica,Emulsion Polymerization with Chain Extension,Styrene Butadiene Rubber (SBR),Gel Content (%),https://drive.google.com/file/d/1KRfoDYVj2fm1b2G1SkTmCy97AIelR4H1/view?usp=drive_link
Michelin tyre process,Tyre Treading,Internal Mixing,Multi-Roll Calender,"Butadiene Monomer, Stabilizers, Accelerators",Gas-Phase Polymerization,BASF,Butadiene Rubber (BR),Nuclear Magnetic Resonance (NMR),https://drive.google.com/file/d/18dtUrid23lnxXaN0kgAKay_ubCu6IbQw/view?usp=drive_link
Michelin tyre process,Tyre Molding,Two-Stage Mixing,Sheeting Calender,"Ethylene, Propylene, Diene monomers, organic peroxides",High-Pressure Polymerization,LyondellBasell,Ethylene-Propylene Diene Monomer (EPDM),Scanning Electron Microscopy (SEM),https://drive.google.com/file/d/1z3Z1fluBMxwHgnOqxzqBE4DVdV8_uGOI/view?usp=drive_link
Michelin tyre process,Mold Cure Pressure: 10 MPa,Internal Mixing (High Shear),3-Roll Calender (Fabric Feed),"Styrene, Butadiene, Antioxidants, Antiozonants,Plasticizers", Silica,Emulsion Polymerization with Chain Extension,Styrene Butadiene Rubber (SBR),Gel Content (%),https://drive.google.com/file/d/1KRfoDYVj2fm1b2G1SkTmCy97AIelR4H1/view?usp=drive_link
Michelin tyre process,Single-Stage Cure,Two-Stage Mixing (Internal & Banbury),4-Roll Calender (Sheeting),"Ethylene, Propylene, Diene monomers, organic peroxides", High-Cis Polybutadiene (BR),Solution Polymerization with Coupling Agents,Ethylene-Propylene Diene Monomer (EPDM),Moving Die Rheometry (MDR),https://drive.google.com/file/d/1z3Z1fluBMxwHgnOqxzqBE4DVdV8_uGOI/view?usp=drive_link
